ja	and
rautiainen	dunnock
romahdus	A collapse
roska	litter, trash, rubbish
lelu	toy
puukko	A puukko.
löytö	discovery
olympiavoittaja	Olympic winner
pankinjohtaja	bank manager
ylitys	An act of going over a limit, an instance of surpassing.
kandidaatti	candidate
läpimurto	A breakthrough
kaaos	chaos
kate	covering, roofing
turkulainen	A person from, or an inhabitant of, Turku
lanka	yarn
talouselämä	economy
tutkimustulos	finding
vieri	side
ministerineuvosto	"A council formed by ministers, especially: The Council of the European Union, also referred to as ""Council of Ministers"" or simply ""Council"" The ""Nordic Council of Ministers"", an intergovernmental organ working within the framework of the Nordic Council."
palvelukeskus	service center
rahoituserä	financial item
ravi	trot
suostumus	approval, consent
housut	trousers
yrittäminen	trying
automaatti	automaton
palo	"A fire, an event of something burning Often compounded with a modifier indicating what's burning. Jotkut kemikaalipalot ovat hankalia sammuttaa. Some chemical fires are difficult to put out."
pohjoispuoli	northside
urheiluseura	sport club, athletic club
suomalaisuus	Finnishness
asuinpaikka	residence, place of residence, habitation, homestead
kinkku	ham
pesäpallo	"A variety of baseball developed in Finland in 1920's. There's no ""official"" translation into English, but ""Finnish baseball"" might be used, or simply ""baseball"" in contexts where the differences between the two games are not essential."
kilpailuvirasto	competition regulator; competition authority
tuotekehitys	product development, R&D
suuntaus	trend
elokuvateatteri	movie theater, cinema
mansikka	strawberry
holkeri	Greenland shark, Somniosus microcephalus
terveiset	regards, wishes, greetings, compliments
ymmärrys	understanding
alkukesä	early summer
agenda	An agenda
tiimi	team
oikeudenmukaisuus	fairness, justice; rectitude.
poisto	removal
intressi	interest
pyrintö	Dated form of pyrkimys.
soini	squire.
tuoksu	smell, odour, scent, whiff
kerroin	coefficient
liekki	flame
pääsarja	main sequence
lähipäivä	Any of the next few days.
tapani	Boxing Day
kide	crystal
kouluttaja	trainer
tähti	star
budjettiesitys	budget proposal
mäkihyppy	ski jumping
puoluejohtaja	party leader
serbia	Serbian
kaivos	mine
kalenteri	A calendar
heikkeneminen	decline
mänty	pine, especially the Scots pine, Pinus sylvestris.
olkapää	shoulder
pitkäaikaistyötön	long-term unemployed
sairasloma	sick leave
ostovoima	Purchasing power, buying power.
putoaminen	falling
vatsa	stomach
veli	brother
taipale	Alternative form of taival.
ylitarkastaja	superintendent
parisuhde	intimate relationship
työpaja	workshop
novelli	short story
portugali	The Portuguese language.
päätösvalta	decision making power
katselmus	survey, review
kulttuuriministeri	minister of culture
lentopallo	volleyball
synnytys	The act of giving birth; childbirth, parturition.
ajaja	driver.
juusto	cheese
kaari	curve
osakkeenomistaja	shareholder, shareowner
vahingonkorvaus	damages
etumatka	lead
kierto	rotation
meininki	intention, event, happening
äänioikeutettu	A person entitled to vote.
eno	An uncle
luostari	Abbey, cloister;monastery;convent, nunnery.
rinne	A slope, hillside
käännös	A translation
rutiini	routine
uusivuosi	New Year
valvoja	overseer
julkilausuma	communiqué, declaration, proclamation
länsi	west
eteläpuoli	southside
lounas	southwest
veturi	locomotive
vuoropuhelu	dialogue
heinä	hay tehdä heinää = to hay, to make hay, to do hay
kirves	axe
keskisuomalainen	A person from Central Finland.
vastaisuus	opposition, in compond terms often anti-
elektroniikka	electronics
etsiminen	searching
pastori	pastor
tulkki	interpreter
kantelu	complaint
halme	Farmland that is produced using the slash and burn technique.
uimari	swimmer
ikävä	longing, yearning
poissaolo	absence
muotokuva	A portrait.
tiski	desk
kukkaro	A purse.
huuto	scream, cry
protesti	protest
ratti	steering wheel
yhtymä	combined
kelkka	small sled or sledge equipped with runners
lukiolainen	highschooler
maailmanennätys	world record
ydinase	nuclear weapon
otto	taking
terho	an acorn
toimilupa	concession, franchise
ajokki	An animal used in transport.
kana	chicken
tempaus	An act of snatching, yanking or jerking
vankeustuomio	prison sentence
naapurikunta	neighbouring municipality
parkkipaikka	A parking lot.
kosteus	humidity
lamavuosi	depression year
metsäyhtiö	forest product company
alkukausi	early season
erilaisuus	difference
kristitty	A Christian.
saatavuus	availability
koreografi	choreographer
energiayhtiö	energy company
perho	A fly
psykologi	psychologist
puhuja	A speaker
ympäristöministeri	minister of the environment
kehittämishanke	development project
pesti	hiring
varikko	depot
luento	A lecture, especially one given in a higher learning institution as part of the curriculum.
tuomi	bird cherry
terrorismi	terrorism
esittäjä	performer
raami	frame
vapautusarmeija	liberation army
kaista	lane
ässä	the letter s
kolumni	column
pomo	boss
yhteistyösopimus	cooperation agreement
vihannes	vegetable
erotuomari	A referee, umpire.
marssi	march
netti	the Net, Internet
valaistus	lighting
terveystoimi	health services; usually as a branch of municipal government
valtiontalous	state finances
arvoitus	riddle, puzzle, enigma
kitaristi	guitarist
koreografia	choreography
kunnioitus	respect
puoliaika	half
saldo	balance of an account
kemia	chemistry
luottamushenkilö	shop steward
tuottavuus	productivity
työnhakija	job applicant, jobseeker
panttivanki	hostage
ranska	French
tulitauko	ceasefire
doping	doping
elinkeinokeskus	"A regional or municipal board for promotion of business in its area of operation. There seems to be no uniform translation into English, but many of these boards call themselves ""Business + name of city or region"", e.g. ""Business Seinäjoki"" in their English communication."
kyläkoulu	village school
mielipidemittaus	opinion poll
stressi	stress
ylläpitäminen	Same as ylläpito.
aluejohtaja	regional leader
ampuja	A shooter.
hamina	port, harbour
näkyvyys	visibility
kiintiö	A quota.
kuolemantuomio	Death sentence.
rasismi	racism
ehkäisy	prevention
koura	A fist, hollow of the hand.
kyltti	plaque
mestari	master
piirustus	a drawing
apulaiskaupunginjohtaja	deputy mayor, vice mayor
huutokauppa	auction
tamma	mare
ahdistus	anxiety
itäraja	eastern border
jatkuvuus	continuity
joukkoliikenne	mass transportation, mass transit
kielitaito	language skills
luonnonvara	natural resource
säteily	radiation
talkoot	bee
veikkaus	guess
itsehallinto	autonomy
miikka	minus
sosialisti	socialist
kilpailuttaminen	bidding
isänmaa	fatherland
tulovero	income tax
aloitus	A start
eliitti	elite
kulkija	traveler
suora	a straight
aktivisti	activist
legenda	A legend.
päätöslauselma	Resolution
vesioikeus	water law
kansallisooppera	national opera
runous	poetry
vaikutusvalta	Influence, authority, clout
baari	bar
kotiottelu	home game
ylinopeus	speeding
katsaus	overview, review
oksa	branch
raketti	A rocket.
tyttöystävä	girlfriend
kokoomus	composition, constitution
liitos	joint
tappo	Killing or kill.
asialista	agenda
siirtymä	transition
terveysasema	medical center, municipal clinic, clinic
musiikkiopisto	A music school providing musical training which starts from elementary level and prepares for professional studies.
kataja	juniper
kosto	Revenge, vengeance.
kotikenttä	homecourt, home court, home field, home stadium, home arena, home ice
oikaisu	A shortcut
pyöräily	cycling
solu	A cell
leffa	movie
maltti	patience
vuokralainen	tenant, lessee
kaupunginteatteri	city theatre
valmistaminen	production, fabrication
ahdinko	plight, distress
sovitus	fitting
termi	A term
kakku	cake
kehitysvammainen	a mentally retarded person
moottoripyörä	motorcycle
olohuone	living room
eläkeikä	retirement age, pension age
ennakkoluulo	prejudice
kasvatti	foster child
nelonen	A four
sisä	The inside of something. In contemporary language sisä- serves as a prefix and the locative casesare used as adverbs and postpositions.
hakukomitea	search committee
promille	per mille, permille, per mil, per mill
raamattu	A bible.
tekstiili	fabric, textile, cloth
ennakkotieto	foreknowledge
gallup	Gallup poll
lepo	Rest, repose.
pikamatka	sprint
sopraano	soprano
työministeri	minister of labor
informaatio	information
pääluottamusmies	A head shop steward; in a large workplace there may be several shop stewards, in which case one of them is appointed to represent them as a group towards the employer.
rokote	A vaccine
päärakennus	main building, principal building
pörssiyhtiö	listed company, public company, publicly traded company, quoted company
taakka	burden
varapääministeri	vice premier
palvelutalo	sheltered home, sheltered accommodation, assisted living building
yläkerta	upper floor, upper store
lentoliikenne	air traffic
valtionapu	state aid
raskaus	Heaviness, weight.
ammunta	shooting
juliste	poster, placard
astia	A container, a vessel or a receptacle
kääriäinen	tortrix moth
naudanliha	beef
sellu	cellulose, pulp
hankaluus	difficulty, complexity
rakennemuutos	restructuring
villa	wool
poski	cheek
talletus	A deposit
välikohtaus	An incident
lasti	cargo
päihde	intoxicant, psychoactive drug
sampo	A magical artifact in the Kalevala; it provided wealth to its owner.
nukke	doll
painoarvo	weight, importance, value
palanen	A small piece of almost anything.
pallo	ball
sinfoniaorkesteri	symphony orchestra
konkari	An experienced person; veteran, old hand.
laiminlyönti	neglect
sosiaalityöntekijä	A social worker.
lukuvuosi	school year
perä	The aft part of anything, the rear, the back, the tail end
pito	traction
sosiaalitoimi	social security; usually as a branch of municipal government
luottamusmies	shop steward workplace steward
neuvottelija	mediator
nilkka	ankle
väkiluku	population
kastike	sauce
ponnistus	effort
rotu	breed
hiihtoliitto	A national association of skiers.
markkinavoima	market force
vuotispäivä	anniversary; used only together with a cardinal number.
pakolaisleiri	refugee camp
saatto	escort
sisko	sister
peitto	blanket
pääkonttori	head office
omena	apple
suojelualue	protectorate
vetovoima	gravity
aukioloaika	opening hours
hiki	sweat, perspiration
kerma	cream
syyllisyys	guilt
tuloratkaisu	Another term for tulopoliittinen sopimus see usage notes under tulopolitiikka
golf	golf
helvetti	hell.
hyväksikäyttö	exploitation
asiamies	An agent
selviytyminen	survival
eturivi	front row
maininta	a mention
valtuustoryhmä	parliamentary group in a council, especially a kunnanvaltuusto
kriisinhallinta	crisis management
rivitalo	A row house.
voittomaali	A goal made by the winning team which adds the number of their goals to the final score of the losing team plus one.
uimaranta	beach
kunnossapito	maintenance, upkeep
ori	stallion
päiväkirja	A diary, especially one kept by an individual.
painajainen	nightmare
pöly	dust
varallisuus	wealth
ydinkeskusta	central downtown
arvostelija	critic, reviewer
kynä	quill
hyvinvointivaltio	welfare state
mieliala	mood
puolustusvoimat	Plural form of puolustusvoima
bensa	gas, gasoline, petrol
tiedemies	scientist
tielaitos	public roads authority, public roads administration
asento	A position, posture, pose, stance.
karja	cattle sometimes with a specifier: nautakarja, lehmikarja
korea	the Korean language
puhdistamo	refinery, purification plant
työyhteisö	work community
ulosajo	driving off the road
kommunismi	communism
normi	norm
tupa	room
kuvitus	The illustration of a publication collectively.
rattijuoppo	drunken driver
selänne	ridge
vastarinta	Resistance.
hajoaminen	decomposition
kerronta	narration
meteli	noise, racket
pormestari	mayor
isoisä	grandfather
jääkiekkoilija	ice hockey player
rahapolitiikka	monetary policy
jäsenistö	membership
suihku	A shower
työtoveri	coworker, associate
uhkaus	threat
unkari	Hungarian language
ennakkosuosikki	front runner, favorite
käynnistäminen	starting
kiinalainen	Chinese
osa-alue	division
teollisuusministeri	A minister of industry.
sairaalahoito	hospitalization, hospital care
japanilainen	A Japanese
taisto	A fight.
ostotarjous	buying offer
taisto	A fight.
vuokrasopimus	rental contract, lease
ykkössija	first place, number one, first position in a race, election etc.
planeetta	planet
työväki	workforce, workers as a collective.
valtiosihteeri	In Finnish ministries, the highest official below a minister, appointed for the term of the minister, also called määräaikainen valtiosihteeri or ministerin valtiosihteeri to separate from the permanent secretaries of state.
väliaika	intermission
esitutkinta	A preliminary investigation or hearing carried out by the police prior to starting the actual criminal procedure in order to find out whether a crime has been committed, what are the circumstances and who are the persons concerned.
oikeisto	The right.
tyytymättömyys	dissatisfaction, discontent
urpo	moron
eläinlääkäri	veterinarian
kanslia	office
kontrolli	control
morsian	fiancée
selkkaus	incident, confrontation
pysyminen	staying
rapu	A European crayfish, noble crayfish, broad-fingered crayfish, Astacus astacus.
